[22:06:31.372] Namespace(root_path='../data/ACDC', exp='BCP', model='unet', pre_iterations=10000, max_iterations=30000, batch_size=24, deterministic=1, base_lr=0.01, image_size=[256, 256], seed=1337, num_classes=4, labeled_bs=12, labelnum=3, u_weight=0.5, gpu='7', consistency=0.1, consistency_rampup=200.0, magnitude=6.0, s_param=6, patch_size=64, h_size=4, w_size=4, top_num=4)
[21:34:50.448] Namespace(root_path='../data/ACDC', exp='BCP', model='unet', pre_iterations=10000, max_iterations=30000, batch_size=24, deterministic=1, base_lr=0.01, image_size=[256, 256], seed=1337, num_classes=4, labeled_bs=12, labelnum=3, u_weight=0.5, gpu='7', consistency=0.1, consistency_rampup=200.0, magnitude=6.0, s_param=6, patch_size=64, h_size=4, w_size=4, top_num=4)
[21:34:51.473] Start self_training
[21:34:51.474] 5 iterations per epoch
[22:38:29.939] Namespace(root_path='../data/ACDC', exp='BCP', model='unet', pre_iterations=10000, max_iterations=30000, batch_size=24, deterministic=1, base_lr=0.01, image_size=[256, 256], seed=1337, num_classes=4, labeled_bs=12, labelnum=3, u_weight=0.5, gpu='7', consistency=0.1, consistency_rampup=200.0, magnitude=6.0, s_param=6, patch_size=64, h_size=4, w_size=4, top_num=4, optimizer='adamw', weight_decay=0.01, momentum=0.9, beta1=0.9, beta2=0.999, scheduler='cosine', warmup_epochs=5, min_lr=1e-06, lr_decay=0.1, lr_decay_epochs=10)
[22:38:30.439] Start self_training
[22:38:30.439] 5 iterations per epoch
[22:38:42.141] iteration 1: loss: 2.845197, model1_loss: 1.052712, model2_loss: 1.504668
[22:38:42.771] iteration 2: loss: 1.820369, model1_loss: 0.643544, model2_loss: 1.033094
[22:38:43.406] iteration 3: loss: 2.120947, model1_loss: 0.739002, model2_loss: 1.164350
[22:38:44.034] iteration 4: loss: 2.084960, model1_loss: 0.650539, model2_loss: 1.240259
[22:38:44.662] iteration 5: loss: 2.409076, model1_loss: 0.815795, model2_loss: 1.246590
[22:05:48.822] Namespace(root_path='../data/ACDC', exp='BCP', model='unet', pre_iterations=10000, max_iterations=30000, batch_size=24, deterministic=1, base_lr=0.01, image_size=[256, 256], seed=1337, num_classes=4, labeled_bs=12, labelnum=3, u_weight=0.5, gpu='7', consistency=0.1, consistency_rampup=200.0, magnitude=6.0, s_param=6, patch_size=64, h_size=4, w_size=4, top_num=4, optimizer='adamw', weight_decay=0.01, momentum=0.9, beta1=0.9, beta2=0.999, scheduler='cosine', warmup_epochs=5, min_lr=1e-06, lr_decay=0.1, lr_decay_epochs=10)
[22:14:49.197] Namespace(root_path='../data/ACDC', exp='BCP', model='unet', pre_iterations=10000, max_iterations=30000, batch_size=24, deterministic=1, base_lr=0.01, image_size=[256, 256], seed=1337, num_classes=4, labeled_bs=12, labelnum=3, u_weight=0.5, gpu='7', consistency=0.1, consistency_rampup=200.0, magnitude=6.0, s_param=6, patch_size=64, h_size=4, w_size=4, top_num=4, optimizer='adamw', weight_decay=0.01, momentum=0.9, beta1=0.9, beta2=0.999, scheduler='cosine', warmup_epochs=5, min_lr=1e-06, lr_decay=0.1, lr_decay_epochs=10)
[22:14:49.824] Start self_training
[22:14:49.824] 5 iterations per epoch
[22:14:51.729] iteration 1: loss: 2.845197, model1_loss: 1.052712, model2_loss: 1.504668, lr1: 0.010000, lr2: 0.010000
[22:14:52.360] iteration 2: loss: 7.165640, model1_loss: 3.011284, model2_loss: 3.034889, lr1: 0.010000, lr2: 0.010000
[22:14:52.989] iteration 3: loss: 7.686287, model1_loss: 3.288888, model2_loss: 3.258776, lr1: 0.010000, lr2: 0.010000
[22:14:53.620] iteration 4: loss: 6.832306, model1_loss: 2.895095, model2_loss: 3.064796, lr1: 0.010000, lr2: 0.010000
[22:14:54.246] iteration 5: loss: 6.619224, model1_loss: 2.846166, model2_loss: 2.865997, lr1: 0.010000, lr2: 0.010000
[22:14:56.754] iteration 6: loss: 6.711205, model1_loss: 2.823021, model2_loss: 3.007298, lr1: 0.010000, lr2: 0.010000
[22:14:57.385] iteration 7: loss: 6.727458, model1_loss: 2.847984, model2_loss: 2.988173, lr1: 0.010000, lr2: 0.010000
[22:14:58.009] iteration 8: loss: 6.510001, model1_loss: 2.803277, model2_loss: 2.848511, lr1: 0.010000, lr2: 0.010000
[22:14:58.640] iteration 9: loss: 6.440465, model1_loss: 2.798751, model2_loss: 2.855364, lr1: 0.010000, lr2: 0.010000
[22:14:59.267] iteration 10: loss: 6.110409, model1_loss: 2.701063, model2_loss: 2.635835, lr1: 0.010000, lr2: 0.010000
[22:15:00.605] iteration 11: loss: 6.183083, model1_loss: 2.542699, model2_loss: 2.822273, lr1: 0.010000, lr2: 0.010000
[22:15:01.236] iteration 12: loss: 6.206261, model1_loss: 2.686198, model2_loss: 2.725815, lr1: 0.010000, lr2: 0.010000
[22:15:01.862] iteration 13: loss: 6.160589, model1_loss: 2.580266, model2_loss: 2.723883, lr1: 0.010000, lr2: 0.010000
[22:15:02.486] iteration 14: loss: 6.022107, model1_loss: 2.526383, model2_loss: 2.696124, lr1: 0.010000, lr2: 0.010000
[22:15:03.119] iteration 15: loss: 5.929953, model1_loss: 2.507022, model2_loss: 2.613971, lr1: 0.010000, lr2: 0.010000
[22:15:04.505] iteration 16: loss: 5.912842, model1_loss: 2.493326, model2_loss: 2.636661, lr1: 0.010000, lr2: 0.010000
[22:15:05.120] iteration 17: loss: 5.931541, model1_loss: 2.479949, model2_loss: 2.668244, lr1: 0.010000, lr2: 0.010000
[22:15:05.729] iteration 18: loss: 5.584186, model1_loss: 2.395014, model2_loss: 2.429619, lr1: 0.010000, lr2: 0.010000
[22:15:06.341] iteration 19: loss: 5.700104, model1_loss: 2.384397, model2_loss: 2.522362, lr1: 0.010000, lr2: 0.010000
[22:15:06.952] iteration 20: loss: 5.661769, model1_loss: 2.412892, model2_loss: 2.464715, lr1: 0.010000, lr2: 0.010000
[22:15:09.572] iteration 21: loss: 5.577296, model1_loss: 2.340050, model2_loss: 2.456132, lr1: 0.010000, lr2: 0.010000
[22:15:10.188] iteration 22: loss: 5.631857, model1_loss: 2.358821, model2_loss: 2.462032, lr1: 0.010000, lr2: 0.010000
[22:15:10.796] iteration 23: loss: 5.506238, model1_loss: 2.401454, model2_loss: 2.331934, lr1: 0.010000, lr2: 0.010000
[22:15:11.406] iteration 24: loss: 5.762326, model1_loss: 2.420884, model2_loss: 2.562371, lr1: 0.010000, lr2: 0.010000
[22:15:12.015] iteration 25: loss: 5.513327, model1_loss: 2.256136, model2_loss: 2.480834, lr1: 0.010000, lr2: 0.010000
