[03:21:48.439] Namespace(root_path='../data/MS_CMRSEG/mscmrseg19_split1', exp='msc01/diffrect', model='unet', max_iterations=30000, batch_size=8, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, u_weight=0.5, num_classes=4, img_channels=1, load=False, gpu='5', conf_thresh=0.8, labeled_bs=4, labeled_num=7, refine_start=1000, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, image_size=[256, 256], base_chn_rf=64, ldm_beta_sch='cosine', ts=10, ts_sample=2, ref_consistency_weight=-1, no_color=False, no_blur=False, rot=359)
[03:21:52.929] Start pre_training
[03:21:52.929] 27 iterations per epoch
[03:22:36.800] Namespace(root_path='../data/MS_CMRSEG/mscmrseg19_split1', exp='msc01/diffrect', model='unet', max_iterations=30000, batch_size=8, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, u_weight=0.5, num_classes=4, img_channels=1, load=False, gpu='5', conf_thresh=0.8, labeled_bs=4, labeled_num=7, refine_start=1000, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, image_size=[256, 256], base_chn_rf=64, ldm_beta_sch='cosine', ts=10, ts_sample=2, ref_consistency_weight=-1, no_color=False, no_blur=False, rot=359)
[03:22:37.614] Start pre_training
[03:22:37.614] 27 iterations per epoch
[03:23:16.902] Namespace(root_path='../data/MS_CMRSEG/mscmrseg19_split1', exp='msc01/diffrect', model='unet', max_iterations=30000, batch_size=8, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, u_weight=0.5, num_classes=4, img_channels=1, load=False, gpu='5', conf_thresh=0.8, labeled_bs=4, labeled_num=7, refine_start=1000, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, image_size=[256, 256], base_chn_rf=64, ldm_beta_sch='cosine', ts=10, ts_sample=2, ref_consistency_weight=-1, no_color=False, no_blur=False, rot=359)
[03:23:17.709] Start pre_training
[03:23:17.710] 27 iterations per epoch
[21:15:56.938] Namespace(root_path='../data/MS_CMRSEG/mscmrseg19_split1', exp='msc01/diffrect', model='unet', max_iterations=30000, batch_size=8, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, u_weight=0.5, num_classes=4, img_channels=1, load=False, gpu='5', conf_thresh=0.8, labeled_bs=4, labeled_num=7, refine_start=1000, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, image_size=[256, 256], base_chn_rf=64, ldm_beta_sch='cosine', ts=10, ts_sample=2, ref_consistency_weight=-1, no_color=False, no_blur=False, rot=359)
[21:15:59.325] Start pre_training
[21:15:59.326] 27 iterations per epoch
[21:16:08.183] iteration 1: loss: 2.326829, mix_dice: 1.653435, mix_ce: 3.000224
[21:16:08.232] iteration 2: loss: 2.220989, mix_dice: 1.643955, mix_ce: 2.798024
[21:16:08.253] iteration 3: loss: 2.019784, mix_dice: 1.623401, mix_ce: 2.416168
[21:16:08.273] iteration 4: loss: 1.724046, mix_dice: 1.523630, mix_ce: 1.924462
[21:32:50.218] Namespace(root_path='../data/MS_CMRSEG/mscmrseg19_split1', exp='msc01/diffrect', model='unet', max_iterations=30000, batch_size=8, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, u_weight=0.5, num_classes=4, img_channels=1, load=False, gpu='5', conf_thresh=0.8, labeled_bs=4, labeled_num=7, refine_start=1000, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, image_size=[256, 256], base_chn_rf=64, ldm_beta_sch='cosine', ts=10, ts_sample=2, ref_consistency_weight=-1, no_color=False, no_blur=False, rot=359)
[21:32:50.372] Start pre_training
[21:32:50.372] 27 iterations per epoch
[21:32:51.177] iteration 1: loss: 2.326829, mix_dice: 1.653435, mix_ce: 3.000224
[21:32:51.207] iteration 2: loss: 2.220989, mix_dice: 1.643954, mix_ce: 2.798024
[21:32:51.228] iteration 3: loss: 2.019782, mix_dice: 1.623401, mix_ce: 2.416163
[21:32:51.249] iteration 4: loss: 1.724035, mix_dice: 1.523627, mix_ce: 1.924443
[21:32:51.995] iteration 5: loss: 1.449304, mix_dice: 1.530655, mix_ce: 1.367953
[21:32:52.017] iteration 6: loss: 1.161214, mix_dice: 1.409315, mix_ce: 0.913114
[22:01:13.580] Namespace(root_path='../data/MS_CMRSEG/mscmrseg19_split1', exp='msc01/diffrect', model='unet', max_iterations=30000, batch_size=8, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, u_weight=0.5, num_classes=4, img_channels=1, load=False, gpu='5', conf_thresh=0.8, labeled_bs=4, labeled_num=7, refine_start=1000, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, image_size=[256, 256], base_chn_rf=64, ldm_beta_sch='cosine', ts=10, ts_sample=2, ref_consistency_weight=-1, no_color=False, no_blur=False, rot=359, optimizer='adamw', weight_decay=0.01, momentum=0.9, beta1=0.9, beta2=0.999, scheduler='cosine', warmup_epochs=5, min_lr=1e-06, lr_decay=0.1, lr_decay_epochs=10)
[22:01:14.774] Start pre_training
[22:01:14.775] 27 iterations per epoch
[22:16:45.993] Namespace(root_path='../data/MS_CMRSEG/mscmrseg19_split1', exp='msc01/diffrect', model='unet', max_iterations=30000, batch_size=8, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, u_weight=0.5, num_classes=4, img_channels=1, load=False, gpu='5', conf_thresh=0.8, labeled_bs=4, labeled_num=7, refine_start=1000, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, image_size=[256, 256], base_chn_rf=64, ldm_beta_sch='cosine', ts=10, ts_sample=2, ref_consistency_weight=-1, no_color=False, no_blur=False, rot=359, optimizer='adamw', weight_decay=0.01, momentum=0.9, beta1=0.9, beta2=0.999, scheduler='cosine', warmup_epochs=5, min_lr=1e-06, lr_decay=0.1, lr_decay_epochs=10)
[22:16:46.155] Start pre_training
[22:16:46.155] 27 iterations per epoch
[22:16:48.887] iteration 1: loss: 2.326829, mix_dice: 1.653435, mix_ce: 3.000224, lr: 0.010000
[22:16:48.918] iteration 2: loss: 1.672721, mix_dice: 1.522269, mix_ce: 1.823173, lr: 0.010000
[22:16:48.941] iteration 3: loss: 1.119572, mix_dice: 1.425646, mix_ce: 0.813499, lr: 0.010000
[22:16:48.962] iteration 4: loss: 0.949049, mix_dice: 1.427114, mix_ce: 0.470984, lr: 0.010000
[22:16:50.041] iteration 5: loss: 0.841414, mix_dice: 1.421232, mix_ce: 0.261596, lr: 0.010000
[22:16:50.063] iteration 6: loss: 0.931080, mix_dice: 1.463980, mix_ce: 0.398180, lr: 0.010000
[22:16:50.086] iteration 7: loss: 0.996467, mix_dice: 1.488879, mix_ce: 0.504055, lr: 0.010000
[22:16:50.284] iteration 8: loss: 0.886914, mix_dice: 1.465959, mix_ce: 0.307868, lr: 0.010000
[22:16:51.611] iteration 9: loss: 0.918131, mix_dice: 1.455048, mix_ce: 0.381214, lr: 0.010000
[22:16:51.757] iteration 10: loss: 0.889362, mix_dice: 1.425257, mix_ce: 0.353467, lr: 0.010000
[22:16:51.790] iteration 11: loss: 1.005624, mix_dice: 1.455975, mix_ce: 0.555274, lr: 0.010000
[22:16:51.910] iteration 12: loss: 0.915301, mix_dice: 1.417571, mix_ce: 0.413031, lr: 0.010000
[22:16:53.248] iteration 13: loss: 0.937878, mix_dice: 1.420706, mix_ce: 0.455050, lr: 0.010000
[22:16:53.503] iteration 14: loss: 0.957238, mix_dice: 1.403788, mix_ce: 0.510688, lr: 0.010000
[22:16:53.922] iteration 15: loss: 0.928428, mix_dice: 1.391511, mix_ce: 0.465345, lr: 0.010000
[22:16:53.945] iteration 16: loss: 0.906462, mix_dice: 1.364298, mix_ce: 0.448627, lr: 0.010000
[22:16:55.235] iteration 17: loss: 0.852728, mix_dice: 1.324720, mix_ce: 0.380735, lr: 0.010000
[22:16:55.698] iteration 18: loss: 0.901563, mix_dice: 1.338994, mix_ce: 0.464133, lr: 0.010000
[22:16:56.028] iteration 19: loss: 0.901185, mix_dice: 1.378611, mix_ce: 0.423760, lr: 0.010000
[22:16:56.054] iteration 20: loss: 0.877155, mix_dice: 1.339843, mix_ce: 0.414467, lr: 0.010000
[22:16:56.893] iteration 21: loss: 0.967553, mix_dice: 1.368267, mix_ce: 0.566839, lr: 0.010000
[22:16:57.415] iteration 22: loss: 0.834237, mix_dice: 1.308659, mix_ce: 0.359816, lr: 0.010000
[22:16:57.789] iteration 23: loss: 0.782444, mix_dice: 1.301210, mix_ce: 0.263677, lr: 0.010000
[22:16:57.811] iteration 24: loss: 0.952218, mix_dice: 1.377878, mix_ce: 0.526557, lr: 0.010000
[22:16:58.728] iteration 25: loss: 0.789731, mix_dice: 1.284685, mix_ce: 0.294777, lr: 0.010000
[22:16:59.048] iteration 26: loss: 0.867545, mix_dice: 1.373919, mix_ce: 0.361171, lr: 0.010000
[22:16:59.505] iteration 27: loss: 0.859762, mix_dice: 1.402427, mix_ce: 0.317097, lr: 0.010000
[22:17:00.436] iteration 28: loss: 0.839168, mix_dice: 1.350092, mix_ce: 0.328245, lr: 0.010000
[22:17:00.459] iteration 29: loss: 0.990525, mix_dice: 1.466397, mix_ce: 0.514654, lr: 0.010000
[22:17:00.481] iteration 30: loss: 0.863553, mix_dice: 1.419641, mix_ce: 0.307464, lr: 0.010000
[22:17:00.502] iteration 31: loss: 0.849971, mix_dice: 1.363822, mix_ce: 0.336121, lr: 0.010000
[22:17:01.165] iteration 32: loss: 0.875428, mix_dice: 1.372665, mix_ce: 0.378191, lr: 0.010000
[22:17:01.191] iteration 33: loss: 0.872715, mix_dice: 1.421398, mix_ce: 0.324031, lr: 0.010000
[22:17:01.218] iteration 34: loss: 0.939230, mix_dice: 1.383032, mix_ce: 0.495429, lr: 0.010000
[22:17:01.240] iteration 35: loss: 0.877570, mix_dice: 1.337231, mix_ce: 0.417908, lr: 0.010000
[22:21:43.448] Namespace(root_path='../data/MS_CMRSEG/mscmrseg19_split1', exp='msc01/diffrect', model='unet', max_iterations=30000, batch_size=8, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, u_weight=0.5, num_classes=4, img_channels=1, load=False, gpu='5', conf_thresh=0.8, labeled_bs=4, labeled_num=7, refine_start=1000, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, image_size=[256, 256], base_chn_rf=64, ldm_beta_sch='cosine', ts=10, ts_sample=2, ref_consistency_weight=-1, no_color=False, no_blur=False, rot=359, optimizer='adamw', weight_decay=0.01, momentum=0.9, beta1=0.9, beta2=0.999, scheduler='cosine', warmup_epochs=5, min_lr=1e-06, lr_decay=0.1, lr_decay_epochs=10)
[22:21:43.607] Start pre_training
[22:21:43.607] 27 iterations per epoch
[22:21:44.462] iteration 1: loss: 2.326829, mix_dice: 1.653435, mix_ce: 3.000224, lr: 0.010000
[22:21:44.487] iteration 2: loss: 1.672694, mix_dice: 1.522256, mix_ce: 1.823131, lr: 0.010000
[22:21:44.511] iteration 3: loss: 1.119583, mix_dice: 1.425666, mix_ce: 0.813500, lr: 0.010000
[22:21:44.536] iteration 4: loss: 0.949069, mix_dice: 1.427002, mix_ce: 0.471136, lr: 0.010000
[22:21:44.560] iteration 5: loss: 0.841324, mix_dice: 1.421223, mix_ce: 0.261426, lr: 0.010000
[22:21:44.584] iteration 6: loss: 0.934279, mix_dice: 1.465496, mix_ce: 0.403063, lr: 0.010000
[22:21:44.614] iteration 7: loss: 0.884220, mix_dice: 1.451167, mix_ce: 0.317272, lr: 0.010000
[22:21:44.651] iteration 8: loss: 0.836014, mix_dice: 1.400272, mix_ce: 0.271755, lr: 0.010000
[22:21:44.686] iteration 9: loss: 0.898775, mix_dice: 1.401047, mix_ce: 0.396504, lr: 0.010000
[22:21:44.719] iteration 10: loss: 0.856622, mix_dice: 1.376916, mix_ce: 0.336328, lr: 0.010000
[22:21:44.757] iteration 11: loss: 0.962018, mix_dice: 1.441365, mix_ce: 0.482671, lr: 0.010000
