[21:17:30.627] Namespace(root_path='../data/MS_CMRSEG/mscmrseg19_split2', exp='msc02/diffrect', model='unet', max_iterations=30000, batch_size=8, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, u_weight=0.5, num_classes=4, img_channels=1, load=False, gpu='6', conf_thresh=0.8, labeled_bs=4, labeled_num=7, refine_start=1000, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, image_size=[256, 256], base_chn_rf=64, ldm_beta_sch='cosine', ts=10, ts_sample=2, ref_consistency_weight=-1, no_color=False, no_blur=False, rot=359)
[21:17:32.005] Start pre_training
[21:17:32.005] 25 iterations per epoch
[21:33:06.235] Namespace(root_path='../data/MS_CMRSEG/mscmrseg19_split2', exp='msc02/diffrect', model='unet', max_iterations=30000, batch_size=8, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, u_weight=0.5, num_classes=4, img_channels=1, load=False, gpu='6', conf_thresh=0.8, labeled_bs=4, labeled_num=7, refine_start=1000, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, image_size=[256, 256], base_chn_rf=64, ldm_beta_sch='cosine', ts=10, ts_sample=2, ref_consistency_weight=-1, no_color=False, no_blur=False, rot=359)
[21:33:06.392] Start pre_training
[21:33:06.392] 25 iterations per epoch
[22:01:52.792] Namespace(root_path='../data/MS_CMRSEG/mscmrseg19_split2', exp='msc02/diffrect', model='unet', max_iterations=30000, batch_size=8, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, u_weight=0.5, num_classes=4, img_channels=1, load=False, gpu='6', conf_thresh=0.8, labeled_bs=4, labeled_num=7, refine_start=1000, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, image_size=[256, 256], base_chn_rf=64, ldm_beta_sch='cosine', ts=10, ts_sample=2, ref_consistency_weight=-1, no_color=False, no_blur=False, rot=359, optimizer='adamw', weight_decay=0.01, momentum=0.9, beta1=0.9, beta2=0.999, scheduler='cosine', warmup_epochs=5, min_lr=1e-06, lr_decay=0.1, lr_decay_epochs=10)
[22:01:53.810] Start pre_training
[22:01:53.811] 25 iterations per epoch
[22:02:05.173] Namespace(root_path='../data/MS_CMRSEG/mscmrseg19_split2', exp='msc02/diffrect', model='unet', max_iterations=30000, batch_size=8, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, u_weight=0.5, num_classes=4, img_channels=1, load=False, gpu='6', conf_thresh=0.8, labeled_bs=4, labeled_num=7, refine_start=1000, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, image_size=[256, 256], base_chn_rf=64, ldm_beta_sch='cosine', ts=10, ts_sample=2, ref_consistency_weight=-1, no_color=False, no_blur=False, rot=359, optimizer='adamw', weight_decay=0.01, momentum=0.9, beta1=0.9, beta2=0.999, scheduler='cosine', warmup_epochs=5, min_lr=1e-06, lr_decay=0.1, lr_decay_epochs=10)
[22:02:05.336] Start pre_training
[22:02:05.336] 25 iterations per epoch
[22:02:07.647] iteration 1: loss: 2.312021, mix_dice: 1.625611, mix_ce: 2.998432, lr: 0.010000
[22:02:07.675] iteration 2: loss: 1.732543, mix_dice: 1.521103, mix_ce: 1.943982, lr: 0.010000
[22:02:07.701] iteration 3: loss: 1.140860, mix_dice: 1.404118, mix_ce: 0.877602, lr: 0.010000
[22:02:07.727] iteration 4: loss: 0.968865, mix_dice: 1.460171, mix_ce: 0.477559, lr: 0.010000
[22:02:08.893] iteration 5: loss: 1.011511, mix_dice: 1.473197, mix_ce: 0.549825, lr: 0.010000
[22:02:08.915] iteration 6: loss: 0.906375, mix_dice: 1.475219, mix_ce: 0.337531, lr: 0.010000
[22:02:08.939] iteration 7: loss: 0.901757, mix_dice: 1.477459, mix_ce: 0.326054, lr: 0.010000
[22:02:08.963] iteration 8: loss: 1.034084, mix_dice: 1.495345, mix_ce: 0.572824, lr: 0.010000
[22:02:30.105] Namespace(root_path='../data/MS_CMRSEG/mscmrseg19_split2', exp='msc02/diffrect', model='unet', max_iterations=30000, batch_size=8, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, u_weight=0.5, num_classes=4, img_channels=1, load=False, gpu='6', conf_thresh=0.8, labeled_bs=4, labeled_num=7, refine_start=1000, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, image_size=[256, 256], base_chn_rf=64, ldm_beta_sch='cosine', ts=10, ts_sample=2, ref_consistency_weight=-1, no_color=False, no_blur=False, rot=359, optimizer='adamw', weight_decay=0.01, momentum=0.9, beta1=0.9, beta2=0.999, scheduler='cosine', warmup_epochs=5, min_lr=1e-06, lr_decay=0.1, lr_decay_epochs=10)
[22:02:30.274] Start pre_training
[22:02:30.275] 25 iterations per epoch
[22:02:31.129] iteration 1: loss: 2.312021, mix_dice: 1.625611, mix_ce: 2.998432, lr: 0.010000
[22:02:31.156] iteration 2: loss: 1.732550, mix_dice: 1.521102, mix_ce: 1.943998, lr: 0.010000
[22:02:31.187] iteration 3: loss: 1.140760, mix_dice: 1.403984, mix_ce: 0.877536, lr: 0.010000
[22:02:31.219] iteration 4: loss: 0.970957, mix_dice: 1.461402, mix_ce: 0.480513, lr: 0.010000
[22:02:31.251] iteration 5: loss: 1.007146, mix_dice: 1.472383, mix_ce: 0.541910, lr: 0.010000
[22:02:31.282] iteration 6: loss: 0.907535, mix_dice: 1.476011, mix_ce: 0.339058, lr: 0.010000
[22:02:31.309] iteration 7: loss: 0.904849, mix_dice: 1.479973, mix_ce: 0.329726, lr: 0.010000
[22:02:31.339] iteration 8: loss: 1.017908, mix_dice: 1.494700, mix_ce: 0.541115, lr: 0.010000
[22:40:01.146] Namespace(root_path='../data/MS_CMRSEG/mscmrseg19_split2', exp='msc02/diffrect', model='unet', max_iterations=30000, batch_size=8, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, u_weight=0.5, num_classes=4, img_channels=1, load=False, gpu='6', conf_thresh=0.8, labeled_bs=4, labeled_num=7, refine_start=1000, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, image_size=[256, 256], base_chn_rf=64, ldm_beta_sch='cosine', ts=10, ts_sample=2, ref_consistency_weight=-1, no_color=False, no_blur=False, rot=359, optimizer='adamw', weight_decay=0.01, momentum=0.9, beta1=0.9, beta2=0.999, scheduler='cosine', warmup_epochs=5, min_lr=1e-06, lr_decay=0.1, lr_decay_epochs=10)
[22:40:01.310] Start pre_training
[22:40:01.311] 25 iterations per epoch
[22:40:03.448] iteration 1: loss: 2.322350, mix_dice: 1.646775, mix_ce: 2.997925, lr: 0.010000
[22:40:04.354] iteration 2: loss: 1.760477, mix_dice: 1.568000, mix_ce: 1.952954, lr: 0.010000
[22:40:05.639] iteration 3: loss: 1.240420, mix_dice: 1.455492, mix_ce: 1.025347, lr: 0.010000
[22:40:06.851] iteration 4: loss: 1.023148, mix_dice: 1.384723, mix_ce: 0.661573, lr: 0.010000
[22:40:08.287] iteration 5: loss: 0.985129, mix_dice: 1.482174, mix_ce: 0.488084, lr: 0.010000
[22:40:10.005] iteration 6: loss: 1.057913, mix_dice: 1.499652, mix_ce: 0.616174, lr: 0.010000
[22:40:11.556] iteration 7: loss: 1.089927, mix_dice: 1.497867, mix_ce: 0.681988, lr: 0.010000
[23:00:21.792] Namespace(root_path='../data/MS_CMRSEG/mscmrseg19_split2', exp='msc02/diffrect', model='unet', max_iterations=30000, batch_size=8, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, u_weight=0.5, num_classes=4, img_channels=1, load=False, gpu='6', conf_thresh=0.8, labeled_bs=4, labeled_num=7, refine_start=1000, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, image_size=[256, 256], base_chn_rf=64, ldm_beta_sch='cosine', ts=10, ts_sample=2, ref_consistency_weight=-1, no_color=False, no_blur=False, rot=359, optimizer='adamw', weight_decay=0.01, momentum=0.9, beta1=0.9, beta2=0.999, scheduler='cosine', warmup_epochs=5, min_lr=1e-06, lr_decay=0.1, lr_decay_epochs=10)
[23:00:21.959] Start pre_training
[23:00:21.960] 25 iterations per epoch
[23:00:22.635] iteration 1: loss: 2.322350, mix_dice: 1.646775, mix_ce: 2.997925, lr: 0.010000
